restaurant_id,name,address,online_order,book_table,rate_numeric,votes,location,rest_type,cuisines,approx_cost_for_two,listed_in(type),listed_in(city)
2614,Chitu's Kitchen,"1st Main Road, 17th E Cross, Eshwara Layout, Indiranagar, Bangalore",No,No,3.5,11,Indiranagar,Quick Bites,"North Indian, Chinese",450.0,"Delivery, Dine-out",Indiranagar
2615,Chivi's Meilleurs Boulangers,"Shop 3, Lahari Heights, Green House Layout, Doddathoguru, Phase 1, Electronic City, Bangalore",Yes,No,3.4,12,Electronic City,Quick Bites,"South Indian, Bakery, Fast Food",300.0,"Delivery, Desserts, Dine-out",Electronic City
2616,Chocalot,"Building Number 58, Jyoti Nivas College Road, Koramangala 5th Block",No,No,,0,Koramangala 5th Block,Dessert Parlor,Desserts,800.0,Desserts,BTM
2617,Choco Allure,"12th Main, HAL 2nd Stage, Indiranagar, Bangalore",No,No,3.4,5,Indiranagar,"Takeaway, Delivery",Desserts,300.0,"Delivery, Desserts",Indiranagar
2618,Choco Cheese,"20/21, 20th Main Road, 1st Cross, Maruti Nagar Main Road, BTM, Bangalore",Yes,No,4.4,63,BTM,Dessert Parlor,"Desserts, Beverages",300.0,Desserts,BTM
2619,Choco Fudge,"480,1st Main Road, Ashwathnagar, Marathahalli, Bangalore",No,No,,0,Marathahalli,"Beverage Shop, Quick Bites","Beverages, Fast Food, Ice Cream, Sandwich",250.0,Delivery,Brookefield
2620,Choco Monk,"Flat Number 402, Kalpavriksha Apartment, Tavarekere Main Road, First Phase, BTM, Bangalore",No,No,,0,BTM,Delivery,Desserts,200.0,Delivery,BTM
2621,Choco Nut Cafe,"47/9, Nanjunda Reddy Complex, Near Velankini Tech Park, Doddathogur, Electronic City, Bangalore",Yes,No,3.2,19,Electronic City,Quick Bites,Desserts,150.0,"Delivery, Dine-out",Electronic City
2622,Chocoberry,"30, 8th F Main Road, Jayanagar, Bangalore",Yes,No,3.5142857142857147,57,Jayanagar,Dessert Parlor,"Ice Cream, Desserts, Beverages",400.0,"Delivery, Desserts",Banashankari
2623,Chocolat Boulangerie Patisserie,"552, 8th Main, Koramangala 4th Block, Bangalore",No,No,4.1,445,Koramangala 4th Block,Dessert Parlor,"Bakery, Continental, Sandwich, Beverages, Desserts",400.0,"Delivery, Desserts",Koramangala 4th Block
2624,Chocolate Bomb,"16/01, 4th cross road, 2nd main, Venkateshwara layout, S.G Palya, BTM, Bangalore",No,No,,0,BTM,Bakery,Bakery,300.0,"Delivery, Desserts",BTM
2625,Chocolate D'Luxe,"24, Ground Floor, Canberra Block, The Collection, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Yes,No,4.1,184,Lavelle Road,Dessert Parlor,Desserts,550.0,"Delivery, Desserts",Brigade Road
2626,Chocolate Junction,"117, Jaladarshini, Annaswamy Mudaliar Road, Ulsoor, Bangalore",No,No,3.8,29,Ulsoor,Dessert Parlor,Desserts,200.0,"Delivery, Desserts",Brigade Road
2627,Chocolate Junction,"Ground Floor, Commerce@Mantri, N S Palya, Bannerghatta Road, Bangalore",No,No,,0,Bannerghatta Road,Dessert Parlor,Desserts,200.0,"Delivery, Desserts",Bannerghatta Road
2628,Chocolate Philosophy,"4, Walton Road, Lavelle Road, Bangalore",No,No,,0,Lavelle Road,Dessert Parlor,Desserts,500.0,"Delivery, Desserts",Church Street
2629,Chocolate Philosophy,"7th Main Road, HRBR Layout, 2nd Block, Kalyan Nagar, Bangalore",No,No,,0,Kalyan Nagar,Dessert Parlor,Desserts,500.0,"Delivery, Desserts",Kalyan Nagar
2630,Chocolate Philosophy,"JM Plaza, 35, Old 196, 2nd Main, Sadashiv Nagar, Bangalore Sankey Road, Sadashiv Nagar, Bangalore",No,No,,0,Sadashiv Nagar,Dessert Parlor,Desserts,500.0,"Delivery, Desserts",Malleshwaram
2631,Chocolate Philosophy,"Level 4, 1 Mg Road Mall, Trinity Circle, MG Road, Bangalore",No,No,,0,MG Road,Dessert Parlor,Desserts,500.0,"Delivery, Desserts",Brigade Road
2632,Choconut,"47/7, Nanjunda Complex, Doddathoguru, Electronic City, Bangalore",No,No,,0,Electronic City,Beverage Shop,"Bakery, Desserts",300.0,"Delivery, Desserts",Electronic City
2633,Choconut Cafe,"47/9, Nanjunda Reddy Complex, Near velankanni Teck Park, Electronic City, Bangalore",No,No,3.4,6,Electronic City,Quick Bites,"Fast Food, Beverages",250.0,"Delivery, Dine-out",Electronic City
2634,Chocs Cafe,"L R Vande Main Road, Kavalbaisandra, Near KEB Office, RT Nagar, Bangalore",Yes,No,3.6,23,RT Nagar,Quick Bites,"Fast Food, Desserts, Beverages",400.0,Delivery,Frazer Town
2635,Chocs Cafe,"Near Capital Hypee Mart, Yemlur, Marathahalli, Bangalore",No,No,,0,Marathahalli,"Quick Bites, Dessert Parlor","Fast Food, Desserts, Beverages",400.0,"Desserts, Dine-out",Marathahalli
2636,Choi Choi Momos,"70/2, Markham Road, Ashok Nagar, Brigade Road, Bangalore",No,No,3.8600000000000003,32,Brigade Road,Kiosk,"Chinese, Fast Food, Momos",300.0,Delivery,Brigade Road
2637,Choice Bakery,"46, 4th Cross Road, Madiwala, 1st Stage, BTM, Bangalore",No,No,,0,BTM,"Bakery, Quick Bites","Bakery, Fast Food",200.0,Desserts,BTM
2638,Choice of Food,"6th cross Road, Lakshmi Sagar Layout, Behind St Anne's High School, Mahadevpura, Whitefield, Bangalore",No,No,,0,Whitefield,Delivery,"Andhra, Biryani",200.0,Delivery,Brookefield
2639,Chokha Chowka,"22, B.H.B.C.S Layout, Opposite Infosys, 2nd Stage, BTM, Bangalore",Yes,No,3.888888888888889,358,BTM,Quick Bites,"North Indian, Chinese",400.0,"Delivery, Dine-out",Bannerghatta Road
2640,Chokha Zaika,"40, 7th Cross 2nd Main, Neeladri Nagar, Electronic City, Bangalore",No,No,,0,Electronic City,Quick Bites,North Indian,300.0,Delivery,Electronic City
2641,Choo Zi,"3, 5th Block, 60 Feet Road, Koramangala 5th Block, Bangalore",No,No,,0,Koramangala 5th Block,Delivery,Chinese,300.0,Delivery,BTM
2642,ChopServe,"1216-1217, 24th Main, Sector 1, HSR Layout, Bengaluru",No,No,3.5,5,HSR,Quick Bites,Chinese,300.0,"Delivery, Dine-out",HSR
2643,Chopserve,"43, Safa Corner, Koramangala 1st Block, Bangalore",No,No,3.7,19,Koramangala 1st Block,"Takeaway, Delivery",BBQ,300.0,Delivery,Koramangala 4th Block
2644,Chopstick Kitchen,"1, Balaji Layout, 29th Cross, Kaggadasapura Main Road, Kaggadasapura, Bangalore",Yes,No,3.4,71,Kaggadasapura,Casual Dining,"Chinese, Momos",600.0,Delivery,Marathahalli
2645,Chopstick World,"5, 1st Main, 2nd Block, 3rd Stage, Basaveshwara Nagar, Bangalore",No,No,4.0,178,Basaveshwara Nagar,Casual Dining,"Chinese, North Indian",750.0,"Delivery, Dine-out",Rajajinagar
2646,Chord Road Resto-Bar,"1 , 7th Main Service Road, West of Chord Road, Shivanagar, Rajajinagar, Bangalore",No,No,3.2,97,Rajajinagar,"Casual Dining, Lounge","North Indian, South Indian, Chinese",1000.0,"Dine-out, Drinks & nightlife",Rajajinagar
2647,Chorum Curryum,"37, 1st Main, 1st Cross Road, Near Lakshmi Theatre, Narayanappa Garden, Tavarekere, BTM, Bengalore",No,No,,0,BTM,Quick Bites,"Chinese, Kerala, South Indian",250.0,Dine-out,BTM
2648,Chote Miya,"13, 1st Main, Jayamahal Extension, Frazer Town, Bangalore",No,No,3.6,16,Frazer Town,Quick Bites,"Mughlai, Biryani, Rolls",500.0,"Delivery, Dine-out",Frazer Town
2649,Chow San,"1, Opposite British Biological, Arekere, Bannerghatta Road, Bangalore",Yes,No,3.02,122,Bannerghatta Road,Casual Dining,"Chinese, Thai, Momos",500.0,"Delivery, Dine-out",Bannerghatta Road
2650,ChowChow Pandas,Delivery Only,No,No,,0,East Bangalore,Delivery,"Bakery, Desserts",400.0,"Delivery, Desserts",Whitefield
2651,Chowk Tea Stall,"336, 1st B Main, 7th Block, Koramangala 7th Block, Bangalore",No,No,3.4,9,Koramangala 7th Block,Quick Bites,"Street Food, Tea",100.0,Dine-out,BTM
2652,Chowmein,"53, Railway Parallel Road, Empire Towers,Kumarapark West, Seshadripuram, Bangalore",Yes,No,4.0,280,Seshadripuram,Casual Dining,"North Indian, Chinese, Thai, Momos",600.0,"Delivery, Dine-out",Church Street
2653,Chowmein,"729, Swarna Dhara, 4th Floor, West Of Chord Road, Basaveshwara Nagar, Bangalore",Yes,No,3.7999999999999994,285,Basaveshwara Nagar,Casual Dining,"Chinese, North Indian, Momos, Biryani",800.0,"Delivery, Dine-out",Malleshwaram
2654,Chowmein Kitchen,"11, 27th Main, 4th Cross, VGS Layout, Vivek Nagar, Ejipura, Bangalore",No,No,,0,Ejipura,Quick Bites,"Fast Food, Chinese",150.0,"Delivery, Dine-out",Koramangala 4th Block
2655,Chowpatty,"3038, 80 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Yes,No,3.9,929,Indiranagar,Quick Bites,"North Indian, Fast Food, Street Food",300.0,"Delivery, Dine-out",Indiranagar
2656,Chowpatty,"65, 5th Main Road, Teacher's Colony, Jakkasandra, HSR Layout 5th Sector, Koramangala 1st Block, Bangalore",Yes,No,3.6,95,Koramangala 1st Block,Quick Bites,"North Indian, Fast Food, Street Food",300.0,"Delivery, Dine-out",BTM
2657,Christy's Chicken Biryani,"Subbaiahana Palya, Banaswadi Main Road, Banaswadi, Bangalore",No,No,,0,Banaswadi,Quick Bites,Biryani,200.0,"Delivery, Dine-out",Kalyan Nagar
